empno,storeno,somakiosk,cage,cincome,custno,loyallev,loyaltycard,cid,visits,brandtrust,comp,sexy,sophis,exc,fit,ability,csr,ValueForPrice,empsim,TotalACTV,cussat,somarket,CoreBrandACTV,ALLpreACTV,cgender,MCcussat,cussatquad,SOMAinteffect,HighlyRecommend,MCFit,fitquad,storeambience,frequentvisitor,empsimHL,visitsafterkiosk,ActedOnADeal,TotalYearlyACTV,Zcincome,Zcage,SOMAEmp,TotalTwoYearSpend,HighValueCustomer,MCSomaSexy,SomaSexyquad,SatFit,MCGender,SatGender,ServiceQuality,MCAge,MCLoyaltyCard,MCIncome,SOMAEmpsim,Zexc,Zsophis,Zcsr,ZValueForPrice,Zcid,Zempsim
1571161266.00,222.00,1.00,27.00,45996.00,160992894061402,1,1,4,23.0,7.00,5.00,5.00,3.00,5.67,5.00,3.33,6.33,6.33,6.00,100.65,4.00,1.00,70.78,113.80,0.00,-0.12,0.01,11.00,0.00,0.98,0.00,5.67,1.00,1.00,11.50,11.50,107.22,-1.46083,-1.35625,11.00,1444.27,1.00,0.89,0.009,-0.13,-0.71,0.09,6.00,-21.09,0.49,-109536.00,11.00,0.78690,-0.54706,1.03740,1.10903,-0.09836,0.92273
1571161266.00,222.00,1.00,70.00,177184.00,525867797877531,1,1,5,11.0,6.00,4.00,7.00,6.67,6.33,7.00,7.00,4.00,6.00,5.67,74.30,4.00,1.00,27.98,76.84,1.00,-0.12,0.01,11.00,0.00,2.98,4.01,6.33,0.00,1.00,5.50,5.50,75.57,0.28876,0.93344,11.00,1066.27,0.00,2.89,4.392,-0.38,0.29,-0.04,5.67,21.91,0.49,21652.00,11.00,1.12116,1.24969,-0.09657,0.94272,0.37792,0.75590
1571161266.00,222.00,1.00,30.00,140790.00,569258615635882,0,0,5,17.0,7.00,4.33,7.00,3.00,7.00,6.00,#NULL!,6.33,4.00,7.00,108.25,4.00,1.00,56.29,94.34,1.00,-0.12,0.01,11.00,0.00,1.98,1.00,7.00,1.00,1.00,8.50,8.50,101.29,-0.19661,-1.19650,11.00,1553.37,1.00,2.89,4.392,-0.25,0.29,-0.04,7.00,-18.09,-0.51,-14742.00,11.00,1.45542,-0.54706,1.03740,-0.05512,0.37792,1.42321
1571161266.00,222.00,1.00,51.00,224273.00,571646028161775,0,0,5,23.0,3.33,1.00,6.33,6.00,6.00,3.00,1.00,6.00,7.00,7.00,115.75,6.00,1.00,93.05,117.23,1.00,1.88,3.53,11.00,0.00,-1.02,3.99,6.00,1.00,1.00,11.50,11.50,116.49,0.91677,-0.07828,11.00,1661.08,1.00,2.22,2.042,-1.90,0.29,0.54,7.00,2.91,-0.51,68741.00,11.00,0.95403,0.92301,0.87540,1.44164,0.37792,1.42321
1571161266.00,222.00,1.00,48.00,269874.00,681311032811128,0,0,3,19.0,5.33,5.00,5.00,7.00,6.00,5.00,6.67,3.00,4.00,6.33,85.94,4.00,1.00,49.08,98.01,1.00,-0.12,0.01,11.00,0.00,0.98,0.00,6.00,1.00,1.00,9.50,9.50,91.98,1.52493,-0.23803,11.00,1233.30,0.00,0.89,0.009,-0.13,0.29,-0.04,6.33,-0.09,-0.51,114342.00,11.00,0.95403,1.41303,-0.58255,-0.05512,-0.57465,1.08956
2188831872.00,222.00,1.00,62.00,126460.00,38316168401574,0,0,4,17.0,4.33,4.00,5.33,7.00,5.00,4.00,4.67,3.67,7.00,6.33,71.34,4.00,1.00,29.89,81.97,1.00,-0.12,0.01,11.00,0.00,-0.02,1.00,5.00,1.00,1.00,8.50,8.50,76.65,-0.38772,0.50746,11.00,1023.67,0.00,1.22,0.184,0.00,0.29,-0.04,6.33,13.91,-0.51,-29072.00,11.00,0.45263,1.41303,-0.25856,1.44164,-0.09836,1.08956
2188831872.00,222.00,1.00,35.00,270468.00,109888008640659,0,0,3,9.0,3.67,2.00,5.33,4.00,1.00,1.25,4.00,2.00,3.67,1.00,61.75,4.00,1.00,61.75,76.15,0.00,-0.12,0.01,11.00,0.00,-2.77,14.05,1.00,0.00,0.00,4.50,4.50,68.95,1.53285,1.41268,10.00,886.17,0.00,1.22,0.184,0.36,-0.71,0.09,1.00,-13.09,-0.51,114936.00,10.00,-1.55294,-0.05704,-1.06853,-0.22143,-0.57465,-1.57967
2188831872.00,222.00,1.00,49.00,41005.00,212379694842979,1,1,6,9.0,5.67,7.00,6.00,6.00,7.00,7.00,2.67,5.00,7.00,4.67,120.18,6.00,1.00,87.12,101.88,0.00,1.88,3.53,11.00,1.00,2.98,4.01,7.00,0.00,1.00,4.50,4.50,111.03,-1.52740,-0.18478,11.00,1724.57,1.00,1.89,1.201,5.58,-0.71,-1.33,4.67,0.91,0.49,-114527.00,11.00,1.45542,0.92301,0.38942,1.44164,0.85421,0.25542
2188831872.00,222.00,1.00,48.00,240887.00,283726573199268,0,1,7,18.0,2.67,4.00,4.00,7.00,5.00,5.00,4.00,5.67,1.00,6.33,86.12,5.00,1.00,53.56,98.87,1.00,0.88,0.77,11.00,0.00,0.98,0.00,5.00,1.00,1.00,9.00,9.00,92.50,1.13834,-0.23803,11.00,1235.80,0.00,-0.11,0.818,0.86,0.29,0.25,6.33,-0.09,0.49,85355.00,11.00,0.45263,1.41303,0.71341,-1.55188,1.33049,1.08956
2188831872.00,222.00,1.00,36.00,65137.00,286847872601898,0,0,4,22.0,1.33,3.00,4.00,3.33,6.00,5.00,4.00,2.00,4.00,4.67,68.90,5.00,1.00,30.29,39.90,1.00,0.88,0.77,11.00,0.00,0.98,0.00,6.00,1.00,1.00,11.00,11.00,54.40,-1.20556,1.51918,11.00,988.70,0.00,-0.11,0.818,0.86,0.29,0.25,4.67,-12.09,-0.51,-90395.00,11.00,0.95403,-0.38372,-1.06853,-0.05512,-0.09836,0.25542
2188831872.00,222.00,1.00,31.00,113941.00,300538372733878,0,1,5,22.0,4.00,3.67,4.00,7.00,2.67,3.75,3.00,3.67,4.00,4.67,87.54,6.00,1.00,72.51,102.27,1.00,1.88,3.53,11.00,1.00,-0.27,1.56,2.67,1.00,1.00,11.00,11.00,94.91,-0.55468,-1.14325,11.00,1256.26,0.00,-0.11,0.818,-0.50,0.29,0.54,4.67,-17.09,0.49,-41591.00,11.00,-0.71729,1.41303,-0.25856,-0.05512,0.37792,0.25542
2188831872.00,222.00,1.00,36.00,55362.00,468877259494402,0,1,3,20.0,3.67,5.00,6.00,4.33,4.33,5.00,5.00,3.00,4.00,4.00,76.04,5.00,1.00,40.84,120.63,1.00,0.88,0.77,11.00,0.00,0.98,0.00,4.33,1.00,0.00,10.00,10.00,98.34,-1.33592,1.62568,10.00,1091.23,0.00,1.89,1.201,0.86,0.29,0.25,4.00,-12.09,0.49,-100170.00,10.00,0.11837,0.10630,-0.58255,-0.05512,-0.57465,-0.07823
2188831872.00,222.00,1.00,41.00,33727.00,500266641473086,0,0,6,17.0,7.00,6.33,3.00,7.00,6.33,6.50,7.00,4.33,2.67,5.67,64.74,3.00,1.00,44.49,46.06,1.00,-1.12,1.26,11.00,0.00,2.48,2.25,6.33,1.00,1.00,8.50,8.50,55.40,-1.62446,-0.61077,11.00,928.98,0.00,-1.11,3.626,-2.80,0.29,-0.32,5.67,-7.09,-0.51,-121805.00,11.00,1.12116,1.41303,0.06543,-0.72035,0.85421,0.75590
2188831872.00,222.00,1.00,70.00,246739.00,758861303570231,0,0,4,12.0,6.00,6.33,7.00,4.00,4.00,3.00,4.00,5.00,2.00,6.00,81.78,4.00,1.00,48.05,99.24,1.00,-0.12,0.01,11.00,0.00,-1.02,3.99,4.00,0.00,1.00,6.00,6.00,90.51,1.21639,0.93344,11.00,1173.56,0.00,2.89,4.392,0.13,0.29,-0.04,6.00,21.91,-0.51,91207.00,11.00,-0.04876,-0.05704,0.38942,-1.05296,-0.09836,0.92273
2188831872.00,222.00,1.00,33.00,60171.00,803822662314310,0,0,7,22.0,4.33,7.00,6.33,3.00,5.00,6.75,2.33,6.33,4.33,6.33,101.43,6.00,1.00,57.69,115.41,1.00,1.88,3.53,11.00,1.00,2.73,3.07,5.00,1.00,1.00,11.00,11.00,108.42,-1.27179,-1.03675,11.00,1455.46,1.00,2.22,2.042,5.11,0.29,0.54,6.33,-15.09,-0.51,-95361.00,11.00,0.45263,-0.54706,1.03740,0.11119,1.33049,1.08956
